Country,Country_Code,Time_Stamp,Cases
United Kingdom,GBR,1/26/2020,0
United States,USA,1/26/2020,5
United Arab Emirates,ARE,1/26/2020,0
Viet Nam,VNM,1/26/2020,2
Afghanistan,AFG,1/27/2020,0
Algeria,DZA,1/27/2020,0
Australia,AUS,1/27/2020,5
Austria,AUT,1/27/2020,0
Bahrain,BHR,1/27/2020,0
Belgium,BEL,1/27/2020,0
Brazil,BRA,1/27/2020,0
Cambodia,KHM,1/27/2020,1
Canada,CAN,1/27/2020,1
Croatia,HRV,1/27/2020,0
Egypt,EGY,1/27/2020,0
Finland,FIN,1/27/2020,0
France,FRA,1/27/2020,3
Georgia,GEO,1/27/2020,0
Germany,DEU,1/27/2020,1
Greece,GRC,1/27/2020,0
Hong Kong,HKG,1/27/2020,8
India,IND,1/27/2020,0
"Iran, Islamic Republic of",IRN,1/27/2020,0
Iraq,IRQ,1/27/2020,0
Israel,ISR,1/27/2020,0
Italy,ITA,1/27/2020,0
Japan,JPN,1/27/2020,4
Kuwait,KWT,1/27/2020,0
Lebanon,LBN,1/27/2020,0
Macao,MAC,1/27/2020,6
Malaysia,MYS,1/27/2020,4
Nepal,NPL,1/27/2020,1
North Macedonia,MKD,1/27/2020,0
Norway,NOR,1/27/2020,0
Oman,OMN,1/27/2020,0
Pakistan,PAK,1/27/2020,0
Philippines,PHL,1/27/2020,0
Romania,ROU,1/27/2020,0
Russian Federation,RUS,1/27/2020,0
Singapore,SGP,1/27/2020,5
"Korea, Republic of",KOR,1/27/2020,4
Spain,ESP,1/27/2020,0
Sri Lanka,LKA,1/27/2020,1
Sweden,SWE,1/27/2020,0
Switzerland,CHE,1/27/2020,0
"Taiwan, Province of China",TWN,1/27/2020,5
Thailand,THA,1/27/2020,8
United Kingdom,GBR,1/27/2020,0
United States,USA,1/27/2020,5
United Arab Emirates,ARE,1/27/2020,0
Viet Nam,VNM,1/27/2020,2
Afghanistan,AFG,1/28/2020,0
Algeria,DZA,1/28/2020,0
Australia,AUS,1/28/2020,5
Austria,AUT,1/28/2020,0
Bahrain,BHR,1/28/2020,0
Belgium,BEL,1/28/2020,0
Brazil,BRA,1/28/2020,0
Cambodia,KHM,1/28/2020,1
Canada,CAN,1/28/2020,2
Croatia,HRV,1/28/2020,0
Egypt,EGY,1/28/2020,0
Finland,FIN,1/28/2020,0
France,FRA,1/28/2020,4
Georgia,GEO,1/28/2020,0
Germany,DEU,1/28/2020,4
Greece,GRC,1/28/2020,0
Hong Kong,HKG,1/28/2020,8
India,IND,1/28/2020,0
"Iran, Islamic Republic of",IRN,1/28/2020,0
Iraq,IRQ,1/28/2020,0
Israel,ISR,1/28/2020,0
Italy,ITA,1/28/2020,0
Japan,JPN,1/28/2020,7
Kuwait,KWT,1/28/2020,0
Lebanon,LBN,1/28/2020,0
Macao,MAC,1/28/2020,7
Malaysia,MYS,1/28/2020,4
Nepal,NPL,1/28/2020,1
North Macedonia,MKD,1/28/2020,0
Norway,NOR,1/28/2020,0
Oman,OMN,1/28/2020,0
Pakistan,PAK,1/28/2020,0
Philippines,PHL,1/28/2020,0
Romania,ROU,1/28/2020,0
Russian Federation,RUS,1/28/2020,0
Singapore,SGP,1/28/2020,7
"Korea, Republic of",KOR,1/28/2020,4
Spain,ESP,1/28/2020,0
Sri Lanka,LKA,1/28/2020,1
Sweden,SWE,1/28/2020,0
Switzerland,CHE,1/28/2020,0
"Taiwan, Province of China",TWN,1/28/2020,8
Thailand,THA,1/28/2020,14
United Kingdom,GBR,1/28/2020,0
United States,USA,1/28/2020,5
United Arab Emirates,ARE,1/28/2020,0
Viet Nam,VNM,1/28/2020,2
Afghanistan,AFG,1/29/2020,0
Algeria,DZA,1/29/2020,0
Australia,AUS,1/29/2020,6
Austria,AUT,1/29/2020,0
Bahrain,BHR,1/29/2020,0
Belgium,BEL,1/29/2020,0
Brazil,BRA,1/29/2020,0
Cambodia,KHM,1/29/2020,1
Canada,CAN,1/29/2020,2
Croatia,HRV,1/29/2020,0
Egypt,EGY,1/29/2020,0
Finland,FIN,1/29/2020,1
France,FRA,1/29/2020,5
Georgia,GEO,1/29/2020,0
Germany,DEU,1/29/2020,4
Greece,GRC,1/29/2020,0
Hong Kong,HKG,1/29/2020,10
India,IND,1/29/2020,0
"Iran, Islamic Republic of",IRN,1/29/2020,0
Iraq,IRQ,1/29/2020,0
Israel,ISR,1/29/2020,0
Italy,ITA,1/29/2020,0
Japan,JPN,1/29/2020,7
Kuwait,KWT,1/29/2020,0
Lebanon,LBN,1/29/2020,0
Macao,MAC,1/29/2020,7
Malaysia,MYS,1/29/2020,7
Nepal,NPL,1/29/2020,1
North Macedonia,MKD,1/29/2020,0
Norway,NOR,1/29/2020,0
Oman,OMN,1/29/2020,0
Pakistan,PAK,1/29/2020,0
Philippines,PHL,1/29/2020,0
Romania,ROU,1/29/2020,0
Russian Federation,RUS,1/29/2020,0
Singapore,SGP,1/29/2020,7
"Korea, Republic of",KOR,1/29/2020,4
Spain,ESP,1/29/2020,0
Sri Lanka,LKA,1/29/2020,1
Sweden,SWE,1/29/2020,0
Switzerland,CHE,1/29/2020,0
"Taiwan, Province of China",TWN,1/29/2020,8
Thailand,THA,1/29/2020,14
United Kingdom,GBR,1/29/2020,0
United States,USA,1/29/2020,5
United Arab Emirates,ARE,1/29/2020,4
Viet Nam,VNM,1/29/2020,2
Afghanistan,AFG,1/30/2020,0
Algeria,DZA,1/30/2020,0
Australia,AUS,1/30/2020,9
Austria,AUT,1/30/2020,0
Bahrain,BHR,1/30/2020,0
Belgium,BEL,1/30/2020,0
Brazil,BRA,1/30/2020,0
Cambodia,KHM,1/30/2020,1
Canada,CAN,1/30/2020,2
Croatia,HRV,1/30/2020,0
Egypt,EGY,1/30/2020,0
Finland,FIN,1/30/2020,1
France,FRA,1/30/2020,5
Georgia,GEO,1/30/2020,0
Germany,DEU,1/30/2020,4
Greece,GRC,1/30/2020,0
Hong Kong,HKG,1/30/2020,10
India,IND,1/30/2020,1
"Iran, Islamic Republic of",IRN,1/30/2020,0
Iraq,IRQ,1/30/2020,0
Israel,ISR,1/30/2020,0
Italy,ITA,1/30/2020,0
Japan,JPN,1/30/2020,11
Kuwait,KWT,1/30/2020,0
Lebanon,LBN,1/30/2020,0
Macao,MAC,1/30/2020,7
Malaysia,MYS,1/30/2020,8
Nepal,NPL,1/30/2020,1
North Macedonia,MKD,1/30/2020,0
Norway,NOR,1/30/2020,0
Oman,OMN,1/30/2020,0
Pakistan,PAK,1/30/2020,0
Philippines,PHL,1/30/2020,1
Romania,ROU,1/30/2020,0
Russian Federation,RUS,1/30/2020,0
Singapore,SGP,1/30/2020,10
"Korea, Republic of",KOR,1/30/2020,4
Spain,ESP,1/30/2020,0
Sri Lanka,LKA,1/30/2020,1
Sweden,SWE,1/30/2020,0
Switzerland,CHE,1/30/2020,0
"Taiwan, Province of China",TWN,1/30/2020,9
Thailand,THA,1/30/2020,14
United Kingdom,GBR,1/30/2020,0
United States,USA,1/30/2020,5
United Arab Emirates,ARE,1/30/2020,4
Viet Nam,VNM,1/30/2020,2
Afghanistan,AFG,1/31/2020,0
Algeria,DZA,1/31/2020,0
Australia,AUS,1/31/2020,9
Austria,AUT,1/31/2020,0
Bahrain,BHR,1/31/2020,0
Belgium,BEL,1/31/2020,0
Brazil,BRA,1/31/2020,0
Cambodia,KHM,1/31/2020,1
Canada,CAN,1/31/2020,4
Croatia,HRV,1/31/2020,0
Egypt,EGY,1/31/2020,0
Finland,FIN,1/31/2020,1
France,FRA,1/31/2020,5
Georgia,GEO,1/31/2020,0
Germany,DEU,1/31/2020,5
Greece,GRC,1/31/2020,0
Hong Kong,HKG,1/31/2020,12
India,IND,1/31/2020,1
"Iran, Islamic Republic of",IRN,1/31/2020,0
Iraq,IRQ,1/31/2020,0
Israel,ISR,1/31/2020,0
Italy,ITA,1/31/2020,2
Japan,JPN,1/31/2020,15
Kuwait,KWT,1/31/2020,0
Lebanon,LBN,1/31/2020,0
Macao,MAC,1/31/2020,7
Malaysia,MYS,1/31/2020,8
Nepal,NPL,1/31/2020,1
North Macedonia,MKD,1/31/2020,0
Norway,NOR,1/31/2020,0
Oman,OMN,1/31/2020,0
Pakistan,PAK,1/31/2020,0
Philippines,PHL,1/31/2020,1
Romania,ROU,1/31/2020,0
Russian Federation,RUS,1/31/2020,2
Singapore,SGP,1/31/2020,13
"Korea, Republic of",KOR,1/31/2020,11
Spain,ESP,1/31/2020,0
Sri Lanka,LKA,1/31/2020,1
Sweden,SWE,1/31/2020,1
Switzerland,CHE,1/31/2020,0
"Taiwan, Province of China",TWN,1/31/2020,10
Thailand,THA,1/31/2020,19
United Kingdom,GBR,1/31/2020,2
United States,USA,1/31/2020,7
United Arab Emirates,ARE,1/31/2020,4
Viet Nam,VNM,1/31/2020,2
Afghanistan,AFG,2/1/2020,0
Algeria,DZA,2/1/2020,0
Australia,AUS,2/1/2020,12
Austria,AUT,2/1/2020,0
Bahrain,BHR,2/1/2020,0
Belgium,BEL,2/1/2020,0
Brazil,BRA,2/1/2020,0
Cambodia,KHM,2/1/2020,1
Canada,CAN,2/1/2020,4
Croatia,HRV,2/1/2020,0
Egypt,EGY,2/1/2020,0
Finland,FIN,2/1/2020,1
France,FRA,2/1/2020,6
Georgia,GEO,2/1/2020,0
Germany,DEU,2/1/2020,8
Greece,GRC,2/1/2020,0
Hong Kong,HKG,2/1/2020,13
India,IND,2/1/2020,1
"Iran, Islamic Republic of",IRN,2/1/2020,0
Iraq,IRQ,2/1/2020,0
Israel,ISR,2/1/2020,0
Italy,ITA,2/1/2020,2
Japan,JPN,2/1/2020,20
Kuwait,KWT,2/1/2020,0
Lebanon,LBN,2/1/2020,0
Macao,MAC,2/1/2020,7
Malaysia,MYS,2/1/2020,8
Nepal,NPL,2/1/2020,1
North Macedonia,MKD,2/1/2020,0
Norway,NOR,2/1/2020,0
Oman,OMN,2/1/2020,0
Pakistan,PAK,2/1/2020,0
Philippines,PHL,2/1/2020,1
Romania,ROU,2/1/2020,0
Russian Federation,RUS,2/1/2020,2
Singapore,SGP,2/1/2020,16
"Korea, Republic of",KOR,2/1/2020,12
Spain,ESP,2/1/2020,1
Sri Lanka,LKA,2/1/2020,1
Sweden,SWE,2/1/2020,1
Switzerland,CHE,2/1/2020,0
"Taiwan, Province of China",TWN,2/1/2020,10
Thailand,THA,2/1/2020,19
United Kingdom,GBR,2/1/2020,2
United States,USA,2/1/2020,8
United Arab Emirates,ARE,2/1/2020,4
Viet Nam,VNM,2/1/2020,6
Afghanistan,AFG,2/2/2020,0
Algeria,DZA,2/2/2020,0
Australia,AUS,2/2/2020,12
Austria,AUT,2/2/2020,0
Bahrain,BHR,2/2/2020,0
Belgium,BEL,2/2/2020,0
Brazil,BRA,2/2/2020,0
Cambodia,KHM,2/2/2020,1
Canada,CAN,2/2/2020,4
Croatia,HRV,2/2/2020,0
Egypt,EGY,2/2/2020,0
Finland,FIN,2/2/2020,1
France,FRA,2/2/2020,6
Georgia,GEO,2/2/2020,0
Germany,DEU,2/2/2020,10
Greece,GRC,2/2/2020,0
Hong Kong,HKG,2/2/2020,15
India,IND,2/2/2020,2
"Iran, Islamic Republic of",IRN,2/2/2020,0
Iraq,IRQ,2/2/2020,0
Israel,ISR,2/2/2020,0
Italy,ITA,2/2/2020,2
Japan,JPN,2/2/2020,20
Kuwait,KWT,2/2/2020,0
Lebanon,LBN,2/2/2020,0
Macao,MAC,2/2/2020,8
Malaysia,MYS,2/2/2020,8
Nepal,NPL,2/2/2020,1
North Macedonia,MKD,2/2/2020,0
Norway,NOR,2/2/2020,0
Oman,OMN,2/2/2020,0
Pakistan,PAK,2/2/2020,0
Philippines,PHL,2/2/2020,2
Romania,ROU,2/2/2020,0
Russian Federation,RUS,2/2/2020,2
Singapore,SGP,2/2/2020,18
"Korea, Republic of",KOR,2/2/2020,15
Spain,ESP,2/2/2020,1
Sri Lanka,LKA,2/2/2020,1
Sweden,SWE,2/2/2020,1
Switzerland,CHE,2/2/2020,0
"Taiwan, Province of China",TWN,2/2/2020,10
Thailand,THA,2/2/2020,19
United Kingdom,GBR,2/2/2020,2
United States,USA,2/2/2020,8
United Arab Emirates,ARE,2/2/2020,5
Viet Nam,VNM,2/2/2020,6
Afghanistan,AFG,2/3/2020,0
Algeria,DZA,2/3/2020,0
Australia,AUS,2/3/2020,12
Austria,AUT,2/3/2020,0
Bahrain,BHR,2/3/2020,0
Belgium,BEL,2/3/2020,0
Brazil,BRA,2/3/2020,0
Cambodia,KHM,2/3/2020,1
Canada,CAN,2/3/2020,4
Croatia,HRV,2/3/2020,0
Egypt,EGY,2/3/2020,0
Finland,FIN,2/3/2020,1
France,FRA,2/3/2020,6
Georgia,GEO,2/3/2020,0
Germany,DEU,2/3/2020,12
Greece,GRC,2/3/2020,0
Hong Kong,HKG,2/3/2020,15
India,IND,2/3/2020,3
"Iran, Islamic Republic of",IRN,2/3/2020,0
Iraq,IRQ,2/3/2020,0
Israel,ISR,2/3/2020,0
Italy,ITA,2/3/2020,2
Japan,JPN,2/3/2020,20
Kuwait,KWT,2/3/2020,0
Lebanon,LBN,2/3/2020,0
Macao,MAC,2/3/2020,8
Malaysia,MYS,2/3/2020,8
Nepal,NPL,2/3/2020,1
North Macedonia,MKD,2/3/2020,0
Norway,NOR,2/3/2020,0
Oman,OMN,2/3/2020,0
Pakistan,PAK,2/3/2020,0
Philippines,PHL,2/3/2020,2
Romania,ROU,2/3/2020,0
Russian Federation,RUS,2/3/2020,2
Singapore,SGP,2/3/2020,18
"Korea, Republic of",KOR,2/3/2020,15
Spain,ESP,2/3/2020,1
Sri Lanka,LKA,2/3/2020,1
Sweden,SWE,2/3/2020,1
Switzerland,CHE,2/3/2020,0
"Taiwan, Province of China",TWN,2/3/2020,10
Thailand,THA,2/3/2020,19
United Kingdom,GBR,2/3/2020,2
United States,USA,2/3/2020,11
United Arab Emirates,ARE,2/3/2020,5
Viet Nam,VNM,2/3/2020,8
Afghanistan,AFG,2/4/2020,0
Algeria,DZA,2/4/2020,0
Australia,AUS,2/4/2020,13
Austria,AUT,2/4/2020,0
Bahrain,BHR,2/4/2020,0
Belgium,BEL,2/4/2020,1
Brazil,BRA,2/4/2020,0
Cambodia,KHM,2/4/2020,1
Canada,CAN,2/4/2020,4
Croatia,HRV,2/4/2020,0
Egypt,EGY,2/4/2020,0
Finland,FIN,2/4/2020,1
France,FRA,2/4/2020,6
Georgia,GEO,2/4/2020,0
Germany,DEU,2/4/2020,12
Greece,GRC,2/4/2020,0
Hong Kong,HKG,2/4/2020,17
India,IND,2/4/2020,3
"Iran, Islamic Republic of",IRN,2/4/2020,0
Iraq,IRQ,2/4/2020,0
Israel,ISR,2/4/2020,0
Italy,ITA,2/4/2020,2
Japan,JPN,2/4/2020,22
Kuwait,KWT,2/4/2020,0
Lebanon,LBN,2/4/2020,0
Macao,MAC,2/4/2020,10
Malaysia,MYS,2/4/2020,10
Nepal,NPL,2/4/2020,1
North Macedonia,MKD,2/4/2020,0
Norway,NOR,2/4/2020,0
Oman,OMN,2/4/2020,0
Pakistan,PAK,2/4/2020,0
Philippines,PHL,2/4/2020,2
Romania,ROU,2/4/2020,0
Russian Federation,RUS,2/4/2020,2
Singapore,SGP,2/4/2020,24
"Korea, Republic of",KOR,2/4/2020,16
Spain,ESP,2/4/2020,1
Sri Lanka,LKA,2/4/2020,1
Sweden,SWE,2/4/2020,1
Switzerland,CHE,2/4/2020,0
"Taiwan, Province of China",TWN,2/4/2020,11
Thailand,THA,2/4/2020,25
United Kingdom,GBR,2/4/2020,2
United States,USA,2/4/2020,11
United Arab Emirates,ARE,2/4/2020,5
Viet Nam,VNM,2/4/2020,8
Afghanistan,AFG,2/5/2020,0
Algeria,DZA,2/5/2020,0
Australia,AUS,2/5/2020,13
Austria,AUT,2/5/2020,0
Bahrain,BHR,2/5/2020,0
Belgium,BEL,2/5/2020,1
Brazil,BRA,2/5/2020,0
Cambodia,KHM,2/5/2020,1
Canada,CAN,2/5/2020,5
Croatia,HRV,2/5/2020,0
Egypt,EGY,2/5/2020,0
Finland,FIN,2/5/2020,1
France,FRA,2/5/2020,6
Georgia,GEO,2/5/2020,0
Germany,DEU,2/5/2020,12
Greece,GRC,2/5/2020,0
Hong Kong,HKG,2/5/2020,21
India,IND,2/5/2020,3
"Iran, Islamic Republic of",IRN,2/5/2020,0
Iraq,IRQ,2/5/2020,0
Israel,ISR,2/5/2020,0
Italy,ITA,2/5/2020,2
Japan,JPN,2/5/2020,22
Kuwait,KWT,2/5/2020,0
Lebanon,LBN,2/5/2020,0
Macao,MAC,2/5/2020,10
Malaysia,MYS,2/5/2020,12
Nepal,NPL,2/5/2020,1
North Macedonia,MKD,2/5/2020,0
Norway,NOR,2/5/2020,0
Oman,OMN,2/5/2020,0
Pakistan,PAK,2/5/2020,0
Philippines,PHL,2/5/2020,2
Romania,ROU,2/5/2020,0
Russian Federation,RUS,2/5/2020,2
Singapore,SGP,2/5/2020,28
"Korea, Republic of",KOR,2/5/2020,19
Spain,ESP,2/5/2020,1
Sri Lanka,LKA,2/5/2020,1
Sweden,SWE,2/5/2020,1
Switzerland,CHE,2/5/2020,0
"Taiwan, Province of China",TWN,2/5/2020,11
Thailand,THA,2/5/2020,25
United Kingdom,GBR,2/5/2020,2
United States,USA,2/5/2020,12
United Arab Emirates,ARE,2/5/2020,5
Viet Nam,VNM,2/5/2020,8
Afghanistan,AFG,2/6/2020,0
Algeria,DZA,2/6/2020,0
Australia,AUS,2/6/2020,14
Austria,AUT,2/6/2020,0
Bahrain,BHR,2/6/2020,0
Belgium,BEL,2/6/2020,1
Brazil,BRA,2/6/2020,0
Cambodia,KHM,2/6/2020,1
Canada,CAN,2/6/2020,5
Croatia,HRV,2/6/2020,0
Egypt,EGY,2/6/2020,0
Finland,FIN,2/6/2020,1
France,FRA,2/6/2020,6
Georgia,GEO,2/6/2020,0
Germany,DEU,2/6/2020,12
Greece,GRC,2/6/2020,0
Hong Kong,HKG,2/6/2020,24
India,IND,2/6/2020,3
"Iran, Islamic Republic of",IRN,2/6/2020,0
Iraq,IRQ,2/6/2020,0
Israel,ISR,2/6/2020,0
Italy,ITA,2/6/2020,2
Japan,JPN,2/6/2020,45
Kuwait,KWT,2/6/2020,0
Lebanon,LBN,2/6/2020,0
Macao,MAC,2/6/2020,10
Malaysia,MYS,2/6/2020,12
Nepal,NPL,2/6/2020,1
North Macedonia,MKD,2/6/2020,0
Norway,NOR,2/6/2020,0
Oman,OMN,2/6/2020,0
Pakistan,PAK,2/6/2020,0
Philippines,PHL,2/6/2020,2
Romania,ROU,2/6/2020,0
Russian Federation,RUS,2/6/2020,2
Singapore,SGP,2/6/2020,28
"Korea, Republic of",KOR,2/6/2020,23
Spain,ESP,2/6/2020,1
Sri Lanka,LKA,2/6/2020,1
Sweden,SWE,2/6/2020,1
Switzerland,CHE,2/6/2020,0
"Taiwan, Province of China",TWN,2/6/2020,16
Thailand,THA,2/6/2020,25
United Kingdom,GBR,2/6/2020,2
United States,USA,2/6/2020,12
United Arab Emirates,ARE,2/6/2020,5
Viet Nam,VNM,2/6/2020,10
Afghanistan,AFG,2/7/2020,0
Algeria,DZA,2/7/2020,0
